"";"Gene";"Prot";"CorrValue"
"6830";"g.GO:0016032";"p.CHEK2";0,582159107301554
"27783";"g.SEMA3C";"p.GO:0007165";0,582096421215717
"1761";"g.PREX1";"p.ANLN";-0,581828276523709
"30805";"g.KDM4B";"p.GO:0045893";0,581128892564065
"8953";"g.C4orf34";"p.ESR1";0,581046356044491
"20292";"g.GO:0046777";"p.SYK";0,580984760257866
"7979";"g.GO:0045944";"p.CCNE1";0,580535439981972
"9050";"g.NCOA7";"p.ESR1";-0,580491076444078
"26521";"g.STC2";"p.GO:0006366";0,580277086290754
"14170";"g.ZNF552";"p.NOTCH1";-0,580189771292418
"16222";"g.ZNF552";"p.AKT1S1";-0,579766318122502
"6748";"g.CCNA2";"p.CHEK2";0,579698611663036
"25142";"g.LRIG1";"p.GO:0000122";0,57887602635777
"23256";"g.GO:0046777";"p.EEF2";0,578294361888148
"9065";"g.MEX3A";"p.ESR1";-0,57785401906104
"27761";"g.MEX3A";"p.GO:0007165";-0,577602002882782
"26542";"g.CSRP2";"p.GO:0006366";-0,577433648246526
"26675";"g.GO:0045944";"p.GO:0006366";-0,576332242756346
"7972";"g.GO:0018108";"p.CCNE1";0,576158095004792
"5794";"g.CSRP2";"p.CDK1";0,576028477406032
"25216";"g.CCNA2";"p.GO:0000122";-0,575915575537426
"15897";"g.PREX1";"p.PRKCD";-0,575735396015569
"2305";"g.KDM4B";"p.ASNS";-0,575389750292051
"7855";"g.TTC39A";"p.CCNE1";-0,575190468620856
"14584";"g.GO:0018108";"p.CDH3";0,574994419648754
"31036";"g.MED13L";"p.GO:0045944";0,574778927996455
"31144";"g.CCNA2";"p.GO:0045944";-0,574763672600719
"20317";"g.KDM4B";"p.TGM1";-0,574426718795877
"8916";"g.ASPM";"p.ESR1";-0,573805679219499
"31032";"g.ASPM";"p.GO:0045944";-0,573755018183106
"16289";"g.SLC43A3";"p.AKT1S1";0,573752010916508
"5762";"g.LRIG1";"p.CDK1";-0,573524523750921
"27750";"g.RUNX3";"p.GO:0007165";-0,573365554103192
"23129";"g.SLC43A3";"p.EEF2";0,57326412984072
"6713";"g.SLC43A3";"p.CHEK2";0,57274408022292
"5873";"g.MEX3A";"p.CDK1";0,571624156464417
"10057";"g.KDM4B";"p.GATA3";0,571405744708986
"31050";"g.FUT8";"p.GO:0045944";0,570751322977933
"23193";"g.PREX1";"p.EEF2";-0,570492469336462
"12793";"g.KDM4B";"p.LCK";-0,570401740919685
"31181";"g.MEX3A";"p.GO:0045944";-0,570169701235539
"25233";"g.LMO4";"p.GO:0000122";-0,570166447381464
"1697";"g.SLC43A3";"p.ANLN";0,569830519407555
"9028";"g.CCNA2";"p.ESR1";-0,569307413458729
"31234";"g.GO:0045893";"p.GO:0045944";-0,569158413231774
"7868";"g.FMNL2";"p.CCNE1";0,56871770073365
"7880";"g.E2F1";"p.CCNE1";0,568618493667332
"7917";"g.PREX1";"p.CCNE1";-0,567786614645379
"4433";"g.SLC43A3";"p.BECN1";0,567406381285247
"2322";"g.FUT8";"p.ASNS";-0,567306349188504
"5761";"g.C4orf34";"p.CDK1";-0,567301410050925
"27598";"g.LIMD2";"p.GO:0007165";-0,56718834133296
"4448";"g.FMNL2";"p.BECN1";0,566612227683918
"1712";"g.FMNL2";"p.ANLN";0,566369420882612
"8911";"g.ARL4C";"p.ESR1";-0,566353735757712
"6646";"g.ZNF552";"p.CHEK2";-0,566148788064757
"25174";"g.CSRP2";"p.GO:0000122";-0,566057694551737
"22825";"g.KDM4B";"p.MYC";-0,565888009936867
"709";"g.KDM4B";"p.ARAF";-0,565687122446524
"25122";"g.FUT8";"p.GO:0000122";0,56567746981709
"2453";"g.MEX3A";"p.ASNS";0,565489586632135
"14460";"g.LYN";"p.CDH3";0,565159937741381
"7330";"g.ZNF552";"p.CCNB1";-0,564791271637361
"26509";"g.C4orf34";"p.GO:0006366";0,564074766535158
"6418";"g.ZNF552";"p.CHEK1";-0,563882664968354
"27609";"g.KIF13B";"p.GO:0007165";0,563731233150916
